AAC;Aachen
AAD;Al A'idh
AAI;Alastani
AAL;Al 'Alī;Al 'Ali
ABA;Alba
ABB;Arbabni
ABL;Ardabil
ABV;Ambovontany
ABW;Al-Abwab
ACA;Acatic
ACH;Achaea
ACL;Acolapissa
ACO;Áak'u;aak'u
ADA;Adal
ADG;Āndìng;anding
ADH;Ayodhya
ADO;Ado
AFA;Dankali
AGC;Augsburg
AGH;Angoche
AGN;Āníng;aning
AHI;Ahis
AHO;Ahom
AHT;Hata
AHU;Ahuacatlan
AHY;Antsohihy
AIS;Aisu
AIT;Ait Abbas
AJC;Axochitlan
AJU;Ajuran
AKI;Aki
AKJ;Anenokōji;Anenokoji
AKM;Akamatsu
AKN;Akana
AKR;Akure
AKT;Andō;Ando
AKU;Taku
AKZ;Akizuki
ALA;Albaamaha
ALB;Albania
ALE;Alençon;Alencon
ALG;Algiers
ALI;Kǎilǐ;Kaili
ALL;Allstedt
ALN;Alania
ALO;Alodia
ALS;Strasbourgum
ALT;Altai
ALU;Alupa
ALY;Alaiye
AMA;Armagh
AMB;Amberd
AMD;Amdo
AME;Amecan
AMG;Armagnac
AMH;Ardmire
AML;Amollan
AMP;Amapila
AMR;Al Mira
AMT;Amacoztitlan
ANB;Arnsberg
ANC;Ancona
ANG;Angoulême;Angouleme
ANH;Anhalt
ANI;Aruni
ANJ;Anjou
ANK;Antankarana
ANL;Anilco
ANM;Asonuma
ANN;Annaly
ANR;Andorra
ANS;Ansbach
ANT;Arianiti
ANZ;Anizah
AOS;Aosta
APA;Apalachee
APD;Apardi
APR;Prüm;Prum
AQN;Aquitaine
AQU;Aquileia
ARA;Aragon
ARB;Arborea
ARD;Ardalan
ARG;Argos
ARI;Arima
ARK;Launggyet
ARM;Armenia
ARR;Riga Lettoniae
ARS;Artois
ART;Arlat
ARU;Aru
ARZ;Arezzo
ASA;Asakura
ASC;Ascoli
ASD;Alessandria
ASN;Ashina
ASO;Aso
ASR;$astarabad$
AST;Astarac
ASY;Asayama
ATB;Antambahoaka
ATF;Antaifasy
ATH;Athens
ATI;Asti
ATJ;Aceh
ATK;Antesaka
ATL;Autlan
ATM;Antemoro
ATO;Atocpan
ATP;Atepec
ATQ;Artuqids
ATR;Astrakhan
ATT;Atitlan
ATZ;Artaz
AUD;Arundel
AUG;Augusta Vindelicorum
AUM;Aumale
AUV;Auvergne
AUX;Auxerre
AVR;Avaria
AVY;Avoyel
AWO;Awori
AWS;Aussa
AXC;Axochiapan
AXO;Axocopan
AYA;Ayarmaca
AYD;Aydınids;Aydinids
AYO;Ayotlan
AZF;Al-Zafir
AZL;Aztatlan
BAA;Bara
BAC;Bacan
BAD;Baudh
BAI;Banggai
BAK;Bardak
BAM;Bamberg
BAR;Bar
BAS;Basel
BBD;Brandenburgum
BBG;Blankenburg
BBK;Bambuk
BCH;Chur
BCN;Brycheiniog
BDE;Baden
BDS;Baduspanids
BEA;Beare
BEI;Brunei
BEN;Benin
BER;Berry
BES;Beruas
BET;Betsileo
BEZ;Bezanozano
BFN;West Breifne
BFR;Bafra
BGG;Bangga
BGJ;Belogorye
BGK;Bagelkhand
BGL;Baglana
BGN;Boulogne
BGR;Bandhugara
BHA;Bhatnir
BHD;Bhanvad
BHL;Beichlingen
BHM;Bhamo
BHN;Bahnar
BHP;Mallabhum
BHT;Bohtan
BIA;Baia
BIB;Biberach
BID;Dorpat
BIM;Bima
