KMC;5266;1631
BIJ;3991;916
LWA;4171;1098
LTG;3226;1697
GBR;2806;1548
SHY;3837;1673
SZO;2915;1413
JOL;2575;886
TPR;4253;1035
KLE;2903;1551
ICM;1612;673
BUR;2886;1462
WAR;3558;817
HOB;3563;745
AVE;2806;1463
MTR;4519;528
CAO;1395;1528
JIM;3374;782
CEP;3114.5;1317.5
BLO;3385;1743
WKA;1638;672
SHL;2961.5;1610.5
SEN;1589;1591
KED;4375;743
KLK;4743;1488
TOG;47.5;270
COF;1535;1441
ETH;3398;838
JFN;4060;797
ZAF;2658;874
ISF;3610;1187
TIO;1549;1617
TIW;4861.5;468.5
GZI;3279;326
PRD;4117;966
CCM;1228.5;1242.5
KOL;2914.5;1532
LBV;2997.5;1490.5
LUN;2965;1582
GEL;2903;1558
OLD;2933;1583
MUG;4025;1095
ODH;4074;1084
YAR;3420;1683
GUY;2799;1415
TLC;2786;1226
WAL;3203;1421
APA;1084.5;1418
MYR;4796;1468
CUA;1883;301
NZL;5129.5;137.5
LAR;4861;429
CYP;3319.5;1226
CHA;4506;876
PLC;3114.5;1522.5
ENA;3374;782
AGG;1599;1620
COO;1477;1434
JGD;3902;996
TAU;4309;956
MBZ;2959.5;1467
POW;1596;1495
PRG;1911;459
TKI;4945;1242
ORD;2689;1575
PEQ;1670;1580
KHD;4005;1001
LEI;2698;1567
JPR;4099;960
PAD;2941.5;1553
SBA;4935;1250
ALB;3115;1359
SOL;4765;1590
AKS;3407;874
NAH;1115;1476
ENG;2806;1548
ACH;3143;1284
LFA;4509;658
DLH;4015;1115
HES;2955;1537
MJZ;4765;1346
SBP;4117;1001
ZAP;1307.5;1135.5
WOL;3019;1600
SIO;1351;1663
KKC;4845;1186
FZA;3021;1082
KLP;4046;1073
PAR;2963;1415
TUR;3220;1353
CRT;3193;1235
NOG;3619;1460
OAH;301;1046
GLH;3517;1547
UKR;3278;1530
HAW;338;1011
DTE;4995;1280
ASU;2717;1385
LUA;4398;971
JNN;2733.5;864
MAE;4942;1263
FRN;2941;1520.5
MLG;4641;272
ANL;1380.5;1434.5
HAR;3456;795
MAS;4717;824
TOU;2827;1389
NAK;1351;1729
KLM;3509;1437
CHE;1514;1458
RUS;3388;1638
YAK;3076;553
VIJ;4002;890
HAB;3063.5;1482.5
ROT;2962;1506
BRR;4010;992
DMK;4537;543
MJE;3595;823
GER;3020;1573
AUV;2857;1430
SAR;2943;1338
BER;2835;1452
FOX;1505;1587
