dundalk_bay;000024
eastern_ghats_south_odisha;000303
canada_high_sea18;000f82
kastelholm;001e05
kola_taiga;002801
skagen;00290b
borneo_jungle14;002915
kalmar;00291f
konghalla;002929
gillberg;002933
medina;00293d
valmiera;002947
lake_peipus;00294c
gulf_of_danzig;002960
pagan;00296a
canada_high_sea7;002974
cape_verde_high_sea8;002a88
negra_lagoon;002a97
lake_vedlozero;002aa1
tristan_high_coast4;002aab
cape_verde_high_sea3;002abf
rotorua_lake;002ac9
lake_qarun;002ad3
disentis;002add
pacific_capricorn_tropic;002ae2
canada_high_sea11;002aec
cape_verde_high_sea1;002af6
soikino;002b01
oztoman;002b15
talaha;002b1f
gotlands_hav;002b29
chukchi_sea;002b2e
gefle;002b38
pajala;002b42
philippine_sea;002b4c
pacific_north_equatorial_current44;002b56
east_gulf_of_finland;002b60
felipe_bay;002b6a
north_pacific_ocean;002b74
beringovskii_cape3;002b79
south_pacific_ocean;002c83
revillagigedo_high_sea5;002c8d
indian_southequatorialcurrent12;002ca1
manila_bay;002cab
tungaru_high_sea_7;002cb5
canada_high_sea4;002cc4
blossom_bay;002cd8
cape_verde_high_sea7;002cec
natal_bay;002cf6
tornea;002d01
ringerike;002d0b
leksand;002d10
fana;002d1a
borg;002d24
hardangervidda;002d2e
n_jamtland_wasteland;002d41
s_jamtland_wasteland;002d42
soderala;002d5b
sec_hura_bay;002d65
bouillon;002d6f
canada_high_sea16;002d87
revillagigedo_high_sea8;002e79
revillagigedo_high_sea7;002e8d
berlin;002e97
cape_verde_high_sea6;002ea6
hudson_bay_high_sea12;002eb0
indian_southcurrent2;002eba
qelelevu_coast;002ece
sinai_desert;002ed8
gulf_of_bothnia;002ee2
cape_verde_high_sea10;002ef1
forssa;002f06
montes_claros;002f10
pacific_south_current13;002f1a
african_high_sea12;002f24
taposa;002f2e
tozeur_ghadames_corridor;002f38
howland;002f3d
tadoule;002f47
greenland_high_sea9;002f51
stora_tuna;002f5b
orange_cove;002f65
kalmar_sund;002ffb
revillagigedo_high_sea4;003079
greenland_high_sea21;003083
mahrah_coast;003088
epecuen_lagoon;003092
mangueira_lake;0030a6
siljan;0030b0
hudson_bay_high_sea14;0030ba
tongulakh;0030ce
berbela;003106
juckasjarvi;003110
reveley_shore;00311a
vartsila;00311f
karleby;003133
welamooktook;00313d
liyang;003147
holtalen;003151
raro_matai_ma_high_sea_7;00315b
nia_matai_ma_high_sea_2;003165
nia_matai_ma_high_sea_4;00316a
dongshan_bay;0031f1
ozero_tyulen_ye2;0031fb
tokelau_high_sea_2;003274
rawaki_high_sea_4;00327e
pitcairn_islands_high_sea_3;003288
rawaki_high_sea_10;003292
aono_raina_high_sea_8;00329c
papakena_high_sea_1;0032b0
rawaki_high_sea_3;0032b5
rawaki_high_sea_13;0032bf
rawaki_high_sea_12;0032c9
rawaki_high_sea_1;0032d3
rawaki_high_sea_2;0032dd
yinshaluo;00330b
okhotsk_high_sea15;00331f
maraveh;003329
mpanda;003333
umbakumba_coast;00333d
atlantic_north_equatorial_current15;003347
ningshan;003356
curuai_lake;003360
aulatsivik_island;0033fb
netcheck_cape;003474
pacific_north_current43;003488
lake_terreron;003497
maldives_high_sea_2;0034ab
san_sebastian_bay;0034c9
corcovado_gulf;0034d3
indian_southcurrent13;0034dd
indian_southcurrent18;0034e2
jumla;003501
ullensvang;00351f
kasihta;003529
gresik;003556
australia_highseas_40;003560
speakers_coast;0035f6
trzebnica;003674
kaymaz;00368d
middle_taurus_7;003697
indian_monsooncurrent15;0036ab
pitcairn_islands_high_sea_1;0036b5
sebkhat_of_oran;0036bf
western_atlantic_high_sea64;0036ce
south_china_sea1;0036d8
asele;00371a
shusha;003724
kunming;00372e
pattiw_high_sea_1;003738
north_sea7;003756
bajrajinaparamitapura;00375b
hudson_bay_high_sea16;0037e2
tristan_high_coast1;0037ec
katzenelnbogen;0037f6
coral_bay;003865
dolyna;00386f
